datetime,open,high,low,close,volume
2020-01-02,14.77,15.07,14.67,14.99,1530232.0
2020-01-03,15.06,15.43,15.04,15.3,1116195.0
2020-01-06,15.13,15.46,15.03,15.19,862084.0
2020-01-07,15.25,15.4,15.07,15.27,728608.0
2020-01-08,15.12,15.17,14.75,14.78,847824.0
2020-01-09,14.93,15.05,14.65,14.91,1031637.0
2020-01-10,14.91,14.93,14.64,14.81,585548.0
2020-01-13,14.87,15.15,14.73,15.11,872133.0
2020-01-14,15.11,15.39,14.88,14.88,1304494.0
2020-01-15,14.91,14.98,14.57,14.64,859439.0
2020-01-16,14.64,14.69,14.32,14.45,1028105.0
2020-01-17,14.5,14.67,14.47,14.51,605437.0
2020-01-20,14.55,14.73,14.47,14.57,746075.0
2020-01-21,14.46,14.46,14.05,14.12,896603.0
2020-01-22,14.04,14.28,13.83,14.21,719465.0
2020-01-23,14.04,14.04,13.51,13.66,1100592.0
2020-02-03,12.11,12.82,12.11,12.11,2259195.0
2020-02-04,12.17,12.78,12.14,12.72,1706172.0
2020-02-05,12.71,13.01,12.44,12.75,1491380.0
2020-02-06,12.93,12.99,12.63,12.89,1185816.0
2020-02-07,12.72,12.81,12.53,12.74,924853.0
2020-02-10,12.63,12.65,12.42,12.62,1339495.0
2020-02-11,12.72,13.06,12.68,12.91,1407507.0
2020-02-12,12.91,12.94,12.72,12.89,1070503.0
2020-02-13,12.83,13.0,12.73,12.77,1013205.0
2020-02-14,12.87,13.26,12.82,13.15,1512435.0
2020-02-17,13.16,13.49,13.05,13.49,1543696.0
2020-02-18,13.45,13.45,13.13,13.32,973612.0
2020-02-19,13.22,13.49,13.2,13.36,874107.0
2020-02-20,13.39,13.74,13.22,13.71,1235444.0
2020-02-21,13.61,13.84,13.57,13.7,995071.0
2020-02-24,13.58,13.58,13.27,13.35,1191795.0
2020-02-25,13.12,13.25,12.9,13.16,1144575.0
2020-02-26,12.89,13.39,12.82,13.11,1176599.0
2020-02-27,13.08,13.27,13.01,13.23,975271.0
2020-02-28,12.97,13.16,12.58,12.62,1300644.0
2020-03-02,12.67,13.07,12.58,12.91,1116581.0
2020-03-03,13.08,13.11,12.75,12.84,1153584.0
2020-03-04,12.8,12.9,12.63,12.81,862595.0
2020-03-05,12.92,13.76,12.85,13.51,2686602.0
2020-03-06,13.3,13.39,13.14,13.15,1228531.0
2020-03-09,12.83,12.85,12.54,12.57,1665794.0
2020-03-10,12.5,12.97,12.5,12.88,1167865.0
2020-03-11,12.89,13.0,12.74,12.81,814382.0
2020-03-12,12.77,12.96,12.65,12.8,986497.0
2020-03-13,12.02,12.7,12.02,12.64,1169766.0
2020-03-16,12.57,12.58,11.87,11.87,1406202.0
2020-03-17,11.87,12.09,11.25,11.53,1177849.0
2020-03-18,11.53,11.67,10.77,10.83,1384784.0
2020-03-19,10.8,10.86,10.03,10.35,1891457.0
2020-03-20,10.52,10.8,10.38,10.64,1578353.0
2020-03-23,10.12,10.47,10.05,10.27,1071114.0
2020-03-24,10.52,10.8,10.39,10.73,1180200.0
2020-03-25,11.0,11.19,10.82,10.99,1136958.0
2020-03-26,10.9,11.46,10.84,11.18,1075192.0
2020-03-27,11.37,11.5,11.2,11.27,653019.0
2020-03-30,10.97,11.16,10.88,11.06,661739.0
2020-03-31,11.17,11.21,10.9,10.92,513370.0
2020-04-01,10.98,11.25,10.94,11.01,520836.0
2020-04-02,10.87,11.09,10.78,11.09,518365.0
2020-04-03,10.94,11.01,10.67,10.73,825348.0
